"sf__Id","sf__Created","Id","IsActive","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c"
"0jiVY00000001q5YAA","false","0jiVY00000001q5YAA","false","false","false","false","false","false"
"0jiVY00000001fjYAA","false","0jiVY00000001fjYAA","false","false","false","false","false","false"
"0jiVY00000002AqYAI","false","0jiVY00000002AqYAI","false","false","false","false","false","false"
"0jiVY00000002L9YAI","false","0jiVY00000002L9YAI","false","false","false","false","false","false"
"0jiVY000000020SYAQ","false","0jiVY000000020SYAQ","false","false","false","false","false","false"
"0jiVY00000001L4YAI","false","0jiVY00000001L4YAI","false","false","false","false","false","false"
"0jiVY00000001q6YAA","false","0jiVY00000001q6YAA","false","false","false","false","false","false"
"0jiVY00000001fkYAA","false","0jiVY00000001fkYAA","false","false","false","false","false","false"
"0jiVY00000002ArYAI","false","0jiVY00000002ArYAI","false","false","false","false","false","false"
"0jiVY00000002jnYAA","false","0jiVY00000002jnYAA","false","false","false","false","false","false"
"0jiVY00000002LAYAY","false","0jiVY00000002LAYAY","false","false","false","false","false","false"
"0jiVY000000020TYAQ","false","0jiVY000000020TYAQ","false","false","false","false","false","false"
"0jiVY00000001L5YAI","false","0jiVY00000001L5YAI","false","false","false","false","false","false"
"0jiVY00000001q8YAA","false","0jiVY00000001q8YAA","false","false","false","false","false","false"
"0jiVY00000001fmYAA","false","0jiVY00000001fmYAA","false","false","false","false","false","false"
"0jiVY00000002AtYAI","false","0jiVY00000002AtYAI","false","false","false","false","false","false"
"0jiVY00000002LCYAY","false","0jiVY00000002LCYAY","false","false","false","false","false","false"
"0jiVY000000020VYAQ","false","0jiVY000000020VYAQ","false","false","false","false","false","false"
"0jiVY00000001L7YAI","false","0jiVY00000001L7YAI","false","false","false","false","false","false"
"0jiVY00000003E1YAI","false","0jiVY00000003E1YAI","false","false","false","false","false","false"
"0jiVY00000003CPYAY","false","0jiVY00000003CPYAY","false","false","false","false","false","false"
"0jiVY00000002ppYAA","false","0jiVY00000002ppYAA","false","false","false","false","false","false"
"0jiVY00000002t3YAA","false","0jiVY00000002t3YAA","false","false","false","false","false","false"
"0jiVY00000001q9YAA","false","0jiVY00000001q9YAA","false","false","false","false","false","false"
"0jiVY00000001fnYAA","false","0jiVY00000001fnYAA","false","false","false","false","false","false"
