"sf__Id","sf__Error","Id","Status"
"1pgVY000000004nYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004nYAA","Cancelled"
"1pgVY000000004oYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004oYAA","Cancelled"
"1pgVY000000004pYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004pYAA","Cancelled"
"1pgVY000000004qYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004qYAA","Cancelled"
"1pgVY000000004rYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004rYAA","Cancelled"
"1pgVY000000004sYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004sYAA","Cancelled"
"1pgVY000000004tYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004tYAA","Cancelled"
"1pgVY000000004uYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004uYAA","Cancelled"
"1pgVY000000004vYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004vYAA","Cancelled"
"1pgVY000000004wYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004wYAA","Cancelled"
"1pgVY000000004xYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004xYAA","Cancelled"
"1pgVY000000004yYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004yYAA","Cancelled"
"1pgVY000000004zYAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000004zYAA","Cancelled"
"1pgVY0000000050YAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY0000000050YAA","Cancelled"
"1pgVY0000000051YAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY0000000051YAA","Cancelled"
"1pgVY0000000052YAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY0000000052YAA","Cancelled"
"1pgVY0000000053YAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY0000000053YAA","Cancelled"
"1pgVY0000000054YAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY0000000054YAA","Cancelled"
"1pgVY0000000055YAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY0000000055YAA","Cancelled"
"1pgVY0000000056YAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY0000000056YAA","Cancelled"
"1pgVY0000000057YAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY0000000057YAA","Cancelled"
"1pgVY0000000058YAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY0000000058YAA","Cancelled"
"1pgVY0000000059YAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY0000000059YAA","Cancelled"
"1pgVY000000005AYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005AYAQ","Cancelled"
