Id,Name,NPSP_ID__c,IsActive,Available_for_Housing__c,Available_for_Program_Engagement__c,Available_for_Case_Management__c,Available_for_Clinical__c,Available_for_Peer__c
0jiVY00000001L4YAI,Education-GED tutoring or homework - TLP,a0e61000004bzyuAAA-TLP,true,false,false,false,false,false
0jiVY00000001q6YAA,Education-General support - 1440,a0e6100000Bsl4CAAR-1440,true,false,false,false,false,false
0jiVY00000001fkYAA,Education-General support - Chase,a0e6100000Bsl4CAAR-Chase,true,false,false,false,false,false
0jiVY00000002ArYAI,Education-General support - Drop-In,a0e6100000Bsl4CAAR-Drop-In,true,false,false,false,false,false
0jiVY00000002jnYAA,Education-General support - Nest 56,a0e6100000Bsl4CAAR-Nest 56,true,false,false,false,false,false
0jiVY00000002LAYAY,Education-General support - Outreach,a0e6100000Bsl4CAAR-Outreach,true,false,false,false,false,false
0jiVY000000020TYAQ,Education-General support - Shelter,a0e6100000Bsl4CAAR-Shelter,true,false,false,false,false,false
0jiVY00000001L5YAI,Education-General support - TLP,a0e6100000Bsl4CAAR-TLP,true,false,false,false,false,false
0jiVY00000001q8YAA,Emergency financial assistance provided - 1440,a0e8X00000mHh03QAC-1440,true,false,false,false,false,false
0jiVY00000001fmYAA,Emergency financial assistance provided - Chase,a0e8X00000mHh03QAC-Chase,true,false,false,false,false,false
0jiVY00000002AtYAI,Emergency financial assistance provided - Drop-In,a0e8X00000mHh03QAC-Drop-In,true,false,false,false,false,false
0jiVY00000002LCYAY,Emergency financial assistance provided - Outreach,a0e8X00000mHh03QAC-Outreach,true,false,false,false,false,false
0jiVY000000020VYAQ,Emergency financial assistance provided - Shelter,a0e8X00000mHh03QAC-Shelter,true,false,false,false,false,false
0jiVY00000001L7YAI,Emergency financial assistance provided - TLP,a0e8X00000mHh03QAC-TLP,true,false,false,false,false,false
0jiVY00000003E1YAI,Emergency Service Coordination,,true,false,false,false,false,false
0jiVY00000003CPYAY,Emotional Processing,,true,false,false,false,false,false
0jiVY00000002ppYAA,Employment - Obtained New Employment,,true,false,false,false,false,false
0jiVY00000002t3YAA,Employment Support,,true,false,false,false,false,false
0jiVY00000001q9YAA,Employment-General support - 1440,a0e6100000Bsl4MAAR-1440,true,false,false,false,false,false
0jiVY00000001fnYAA,Employment-General support - Chase,a0e6100000Bsl4MAAR-Chase,true,false,false,false,false,false
0jiVY00000002AuYAI,Employment-General support - Drop-In,a0e6100000Bsl4MAAR-Drop-In,true,false,false,false,false,false
0jiVY00000002joYAA,Employment-General support - Nest 56,a0e6100000Bsl4MAAR-Nest 56,true,false,false,false,false,false
0jiVY00000002LDYAY,Employment-General support - Outreach,a0e6100000Bsl4MAAR-Outreach,true,false,false,false,false,false
0jiVY000000020WYAQ,Employment-General support - Shelter,a0e6100000Bsl4MAAR-Shelter,true,false,false,false,false,false
0jiVY00000001L8YAI,Employment-General support - TLP,a0e6100000Bsl4MAAR-TLP,true,false,false,false,false,false
0jiVY00000001qAYAQ,Employment-Job readiness training - 1440,a0e8X00000mHh08QAC-1440,true,false,false,false,false,false
0jiVY00000001foYAA,Employment-Job readiness training - Chase,a0e8X00000mHh08QAC-Chase,true,false,false,false,false,false
0jiVY00000002AvYAI,Employment-Job readiness training - Drop-In,a0e8X00000mHh08QAC-Drop-In,true,false,false,false,false,false
