AccountId,ProgramId,Status,CreatedDate
001VY00000CGXbNYAX,11WVY000000GC6r2AG,Enrolled,2025-04-29T16:07:31.000+0000
001VY00000H2vbfYAB,11WVY000000GC3d2AG,Awaiting Intake,2025-04-17T22:32:20.000+0000
001VY00000CGXdKYAX,11WVY000000GC3d2AG,Awaiting Intake,2025-04-17T19:42:15.000+0000
001VY00000JCiLhYAL,11WVY000000GC3d2AG,Enrolled,2025-03-28T23:59:01.000+0000
001VY00000Ip3mHYAR,11WVY000000GC3d2AG,Enrolled,2025-03-28T23:55:37.000+0000
001VY00000CGQ5gYAH,11WVY000000GC3d2AG,Enrolled,2025-03-25T23:42:57.000+0000
001VY00000FTFhRYAX,11WVY000000GC6r2AG,Enrolled,2024-12-04T23:24:47.000+0000
001VY00000CGSpfYAH,11WVY000000GC6r2AG,Enrolled,2024-09-16T23:47:00.000+0000
001VY00000CGSosYAH,11WVY000000GC6r2AG,Enrolled,2024-08-01T22:11:00.000+0000
001VY00000CGXc1YAH,11WVY000000GC6r2AG,Enrolled,2024-07-30T03:56:00.000+0000
001VY00000CGXcQYAX,11WVY000000GC3d2AG,Enrolled,2024-07-16T06:01:00.000+0000
001VY00000CGSs6YAH,11WVY000000GC3d2AG,Enrolled,2024-07-16T05:10:00.000+0000
001VY00000CGSs7YAH,11WVY000000GC3d2AG,Enrolled,2024-07-16T05:06:00.000+0000
001VY00000CGSs3YAH,11WVY000000GC3d2AG,Enrolled,2024-07-15T23:30:00.000+0000
001VY00000CGSs2YAH,11WVY000000GC3d2AG,Enrolled,2024-07-15T23:28:00.000+0000
001VY00000CGSs1YAH,11WVY000000GC3d2AG,Enrolled,2024-07-15T23:21:00.000+0000
001VY00000CGRmzYAH,11WVY000000GC3d2AG,Enrolled,2024-07-09T03:32:00.000+0000
001VY00000CGRo9YAH,11WVY000000GC3d2AG,Enrolled,2024-07-09T03:24:00.000+0000
001VY00000CGRx1YAH,11WVY000000GC3d2AG,Enrolled,2024-07-09T03:10:00.000+0000
001VY00000CGSqBYAX,11WVY000000GC3d2AG,Enrolled,2024-07-09T03:07:00.000+0000
001VY00000CGSqAYAX,11WVY000000GC3d2AG,Enrolled,2024-07-09T03:03:00.000+0000
001VY00000CGSpUYAX,11WVY000000GC3d2AG,Enrolled,2024-07-09T03:00:00.000+0000
001VY00000CGFXfYAP,11WVY000000GC6r2AG,Enrolled,2024-07-04T04:29:00.000+0000
