Id,Name,ProgramId,Available_for_Clinical__c,Available_for_Peer__c,Available_for_Case_Management__c,IsActive
0jiRT0000000b7qYAA,External Professional Team,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7rYAA,External Therapy Provider,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7sYAA,Family Reunification Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7tYAA,Financial Education and Navigation,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7uYAA,Food Access,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7vYAA,Food Pantry Access - Onsite,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7wYAA,GED Group,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7xYAA,Group Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7yYAA,Housekeeping,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7zYAA,Individual Session,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b80YAA,Individual Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b81YAA,Initial Planning Meeting,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b82YAA,Initial Planning Meeting (goal setting),11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b83YAA,Lease Violation Meeting,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b84YAA,Legal Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b85YAA,LGBTQIA Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b86YAA,Life Skills Group,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b87YAA,Meal Provided,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b88YAA,"Medical, Legal, or Employment",11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b89YAA,Mental Health,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8AYAQ,Mental Health Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8BYAQ,Move Out Assistance,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8CYAQ,Other supports,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8DYAQ,Parenting Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8EYAQ,Peer Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8FYAQ,Peer Support Group,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8GYAQ,Physical Health,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8HYAQ,Physical/Mental Wellness - Community Outing,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8IYAQ,Point Store Access,11WRT0000017pV32AI,false,false,false,true
