Id,Name,ProgramId,IsActive
0jiVY00000001t2YAA,Transportation-Training or information provided - 1440,11WVY000000GC6r2AG,false
0jiVY00000001t3YAA,Transportation: Level 3 - 1440,11WVY000000GC6r2AG,false
0jiVY00000001tGYAQ,Peer - Counseling Group - 1440,11WVY000000GC6r2AG,false
0jiVY00000001tHYAQ,Peer - Mental Health Check-in - 1440,11WVY000000GC6r2AG,false
0jiVY00000002d2YAA,Creative Expression Activity - 1440,11WVY000000GC6r2AG,false
0jiVY00000002d3YAA,Returned to Services-Outcome - 1440,11WVY000000GC6r2AG,false
0jiVY00000002d4YAA,Education-GED testing - 1440,11WVY000000GC6r2AG,false
0jiVY00000002d5YAA,Family Coaching - 1440,11WVY000000GC6r2AG,false
0jiVY00000002d6YAA,Clinical counseling-Crisis intervention - 1440,11WVY000000GC6r2AG,false
0jiVY00000002jNYAQ,Family engagement general support (not clinical counseling) - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jOYAQ,Professional team engagement - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jPYAQ,Overnight guest - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jQYAQ,Housing-Apartment maintenance/hygiene support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jRYAQ,Group service-Games - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jSYAQ,Clinical counseling-Group therapy - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jTYAQ,Group service-Tenant association - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jUYAQ,Group service-Creative explorations - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jVYAQ,Health-Medical appointment-Onsite - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jWYAQ,Creative expression activity - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jXYAQ,Mental/behavioral health appointment-Offsite - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jYYAQ,Meal provided - Nest 56,11WVY000000GC3d2AG,false
