"Name","NPSP_ID__c","UUID__c","ProgramId","BenefitTypeId","IsActive","BenefitStatus","CPT_Code__c","Default_Disbursement_Quantity__c","Default_Duration_c__c","Housing_Capacity__c","Is_a_Housing_Benefit__c","Spots_Currently_Filled__c","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c","Lifecycle_State__c"
"Initial Planning Meeting (goal setting)","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","true","false","true","false","true","Active"
"Lease Violation Meeting","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Lease Violation Meeting","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Legal Support","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1","60","","false","","false","false","true","false","true",""
"Legal Support","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1","60","","false","","true","true","true","false","true","Replaced"
"LGBTQIA Support","","","11WVY000000GC6r2AG","0jhVY000000001eYAA","false","Active","","1","60","","false","","false","false","true","true","true","Replaced"
"LGBTQIA Support","","","11WVY000000GC3d2AG","0jhVY000000001eYAA","true","Active","","1","240","","false","","false","false","true","true","true",""
"LGBTQIA Support","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","true","false","true","true","true","Active"
"Mental Health","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","false","Active","","1","60","","false","","false","false","true","true","false","Replaced"
"Mental Health","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","false","false","true","true","false",""
"Mental Health Support","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","false","false","true","true","true",""
"Mental Health Support","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","true","false","true","true","true",""
"Move Out Assistance","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Move Out Assistance","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
